TXNAME	GENEID	chr1
ENST00000699986.1	ENSG00000162599.18	0
ENST00000699987.1	ENSG00000162599.18	0
ENST00000699992.1	ENSG00000162599.18	0
ENST00000699993.1	ENSG00000162599.18	0
ENST00000700088.1	ENSG00000009724.18	0
ENST00000700089.1	ENSG00000009724.18	0
ENST00000700090.1	ENSG00000009724.18	0
ENST00000700091.1	ENSG00000009724.18	0
ENST00000700092.1	ENSG00000009724.18	0
ENST00000700093.1	ENSG00000009724.18	0
ENST00000700094.1	ENSG00000009724.18	0
ENST00000700095.1	ENSG00000009724.18	0
ENST00000700096.1	ENSG00000009724.18	0
ENST00000700097.1	ENSG00000009724.18	0
ENST00000700098.1	ENSG00000009724.18	0
ENST00000700105.1	ENSG00000198821.12	0
ENST00000700106.1	ENSG00000198821.12	0
ENST00000700107.1	ENSG00000198821.12	0
ENST00000700108.1	ENSG00000198821.12	0
ENST00000700109.1	ENSG00000198821.12	0
ENST00000700110.1	ENSG00000198821.12	0
ENST00000700111.1	ENSG00000198821.12	0
ENST00000700112.1	ENSG00000198821.12	0
ENST00000700113.1	ENSG00000198821.12	0
ENST00000700134.1	ENSG00000198821.12	0
ENST00000700135.1	ENSG00000198821.12	0
ENST00000700136.1	ENSG00000198821.12	0
ENST00000700137.1	ENSG00000198821.12	0
ENST00000700138.1	ENSG00000198821.12	0
ENST00000700139.1	ENSG00000198821.12	0
ENST00000700140.1	ENSG00000198821.12	0
ENST00000700141.1	ENSG00000198821.12	0
ENST00000700142.1	ENSG00000198821.12	0
ENST00000700143.1	ENSG00000198821.12	0
ENST00000700155.1	ENSG00000198821.12	0
ENST00000700156.1	ENSG00000198821.12	0
ENST00000700157.1	ENSG00000198821.12	0
ENST00000700158.1	ENSG00000198821.12	0
ENST00000700159.1	ENSG00000198821.12	0
ENST00000700160.1	ENSG00000198821.12	0
ENST00000700161.1	ENSG00000198821.12	0
ENST00000700163.1	ENSG00000198821.12	0
ENST00000700164.1	ENSG00000198821.12	0
ENST00000700165.1	ENSG00000198821.12	0
ENST00000700166.1	ENSG00000198821.12	0
ENST00000700167.1	ENSG00000198821.12	0
ENST00000700168.1	ENSG00000198821.12	0
ENST00000700169.1	ENSG00000198821.12	0
ENST00000700187.1	ENSG00000198216.14	0
ENST00000700188.1	ENSG00000198216.14	0
ENST00000700189.1	ENSG00000198216.14	0
ENST00000700190.1	ENSG00000198216.14	0
ENST00000700414.1	ENSG00000171735.21	0
ENST00000700415.1	ENSG00000171735.21	0
ENST00000700416.1	ENSG00000171735.21	0
ENST00000700417.1	ENSG00000171735.21	0
ENST00000700418.1	ENSG00000171735.21	0
ENST00000700419.1	ENSG00000171735.21	0
ENST00000700420.1	ENSG00000171735.21	0
ENST00000700421.1	ENSG00000171735.21	0
ENST00000700422.1	ENSG00000171735.21	0
ENST00000700423.1	ENSG00000171735.21	0
ENST00000700424.1	ENSG00000171735.21	0
ENST00000700425.1	ENSG00000171735.21	0
ENST00000700444.1	ENSG00000171735.21	0
ENST00000700445.1	ENSG00000171735.21	0
ENST00000700446.1	ENSG00000171735.21	0
ENST00000700447.1	ENSG00000171735.21	0
ENST00000700448.1	ENSG00000171735.21	0
ENST00000700449.1	ENSG00000171735.21	0
ENST00000700750.1	ENSG00000134255.16	0
ENST00000700751.1	ENSG00000134255.16	0
ENST00000700752.1	ENSG00000134255.16	0
ENST00000700794.2	ENSG00000291135.2	0
ENST00000700838.2	ENSG00000289835.2	0
ENST00000700887.2	ENSG00000291138.2	0
ENST00000700943.2	ENSG00000291135.2	0
ENST00000700986.2	ENSG00000291135.2	0
ENST00000700991.2	ENSG00000125462.21	0
ENST00000701049.1	ENSG00000291132.2	0
ENST00000701058.1	ENSG00000228697.7	0
ENST00000701060.2	ENSG00000233008.9	0
ENST00000701093.2	ENSG00000231507.5	0
ENST00000701195.2	ENSG00000125462.21	0
ENST00000701205.2	ENSG00000288775.3	0
ENST00000701207.2	ENSG00000228697.7	0
ENST00000701212.1	ENSG00000236021.5	0
ENST00000701228.1	ENSG00000228697.7	0
ENST00000701288.1	ENSG00000291129.2	0
ENST00000701292.2	ENSG00000291132.2	0
ENST00000701335.1	ENSG00000289880.1	0
ENST00000701339.2	ENSG00000289881.2	0
ENST00000701341.2	ENSG00000231064.10	0
ENST00000701347.2	ENSG00000289408.3	0
ENST00000701383.2	ENSG00000291141.2	0
ENST00000701399.2	ENSG00000285728.4	0
ENST00000701409.1	ENSG00000289893.2	0
ENST00000701421.2	ENSG00000231064.10	0
ENST00000701423.2	ENSG00000227712.4	0
ENST00000701450.2	ENSG00000291137.2	0
ENST00000701453.2	ENSG00000291135.2	0
ENST00000701501.2	ENSG00000231563.4	0
ENST00000701536.2	ENSG00000228697.7	0
ENST00000701576.2	ENSG00000125462.21	0
ENST00000701598.2	ENSG00000228794.13	0
ENST00000701603.2	ENSG00000224968.5	0
ENST00000701616.2	ENSG00000224259.10	0
ENST00000701624.2	ENSG00000289914.2	0
ENST00000701628.1	ENSG00000291135.2	0
ENST00000701657.1	ENSG00000291137.2	0
ENST00000701666.2	ENSG00000234476.6	0
ENST00000701697.2	ENSG00000237076.3	0
ENST00000701713.2	ENSG00000291135.2	0
ENST00000701725.1	ENSG00000286391.4	0
ENST00000701766.2	ENSG00000125462.21	0
ENST00000701768.1	ENSG00000228794.13	0
ENST00000701773.2	ENSG00000228526.9	0
ENST00000701824.2	ENSG00000289881.2	0
ENST00000701843.2	ENSG00000289935.2	0
ENST00000701853.1	ENSG00000233008.9	0
ENST00000701862.2	ENSG00000233008.9	0
ENST00000701866.2	ENSG00000258673.3	0
ENST00000701919.1	ENSG00000291137.2	0
ENST00000701937.1	ENSG00000291072.2	0
ENST00000701949.2	ENSG00000291135.2	0
ENST00000701981.1	ENSG00000280587.4	0
ENST00000701992.2	ENSG00000125462.21	0
ENST00000701995.1	ENSG00000291129.2	0
ENST00000702000.1	ENSG00000231064.10	0
ENST00000702045.2	ENSG00000186056.12	0
ENST00000702047.1	ENSG00000125462.21	0
ENST00000702056.2	ENSG00000224870.10	0
ENST00000702086.2	ENSG00000228697.7	0
ENST00000702098.2	ENSG00000228794.13	0
ENST00000702110.1	ENSG00000291129.2	0
ENST00000702128.2	ENSG00000125462.21	0
ENST00000702135.2	ENSG00000289962.2	0
ENST00000702147.1	ENSG00000291132.2	0
ENST00000702202.2	ENSG00000288736.3	0
ENST00000702238.2	ENSG00000289355.3	0
ENST00000702269.1	ENSG00000231064.10	0
ENST00000702273.1	ENSG00000228794.13	0
ENST00000702283.2	ENSG00000228697.7	0
ENST00000702293.1	ENSG00000291132.2	0
ENST00000702311.2	ENSG00000237520.3	0
ENST00000702317.2	ENSG00000226167.2	0
ENST00000702321.2	ENSG00000230623.9	0
ENST00000702336.2	ENSG00000125462.21	0
ENST00000702355.1	ENSG00000231064.10	0
ENST00000702371.2	ENSG00000282564.4	0
ENST00000702374.1	ENSG00000233593.13	0
ENST00000702389.1	ENSG00000289318.3	0
ENST00000702390.2	ENSG00000289995.2	0
ENST00000702396.1	ENSG00000125462.21	0
ENST00000702398.2	ENSG00000233593.13	0
ENST00000702401.1	ENSG00000289402.3	0
ENST00000702418.2	ENSG00000289377.3	0
ENST00000702425.1	ENSG00000231064.10	0
ENST00000702441.2	ENSG00000228697.7	0
ENST00000702444.1	ENSG00000290006.1	0
ENST00000702446.2	ENSG00000291132.2	0
ENST00000702469.1	ENSG00000290013.1	0
ENST00000702475.2	ENSG00000226754.4	0
ENST00000702507.1	ENSG00000291129.2	0
ENST00000702513.2	ENSG00000125462.21	0
ENST00000702520.1	ENSG00000238260.4	0
ENST00000702526.2	ENSG00000291135.2	0
ENST00000702535.1	ENSG00000227733.13	0
ENST00000702538.1	ENSG00000236963.10	0
ENST00000702541.2	ENSG00000293494.3	0
ENST00000702544.1	ENSG00000224699.13	0
ENST00000702552.1	ENSG00000286383.3	0
ENST00000702553.1	ENSG00000291137.2	0
ENST00000702557.2	ENSG00000228794.13	0
ENST00000702560.1	ENSG00000231064.10	0
ENST00000702583.2	ENSG00000258673.3	0
ENST00000702605.1	ENSG00000288775.3	0
ENST00000702606.2	ENSG00000290037.2	0
ENST00000702612.1	ENSG00000234476.6	0
ENST00000702618.2	ENSG00000290041.2	0
ENST00000702619.2	ENSG00000230623.9	0
ENST00000702620.2	ENSG00000224870.10	0
ENST00000702622.1	ENSG00000291132.2	0
ENST00000702624.1	ENSG00000230623.9	0
ENST00000702633.2	ENSG00000290045.2	0
ENST00000702634.2	ENSG00000291137.2	0
ENST00000702654.2	ENSG00000228058.5	0
ENST00000702668.2	ENSG00000231050.4	0
ENST00000702675.2	ENSG00000238142.5	0
ENST00000702677.1	ENSG00000291132.2	0
ENST00000702678.1	ENSG00000291137.2	0
ENST00000702683.2	ENSG00000177133.15	0
ENST00000702690.2	ENSG00000223944.4	0
ENST00000702694.1	ENSG00000233290.5	0
ENST00000702695.1	ENSG00000230461.11	0
ENST00000702699.2	ENSG00000231064.10	0
ENST00000702702.2	ENSG00000125462.21	0
ENST00000702703.1	ENSG00000280587.4	0
ENST00000702704.1	ENSG00000236963.10	0
ENST00000702705.2	ENSG00000234476.6	0
ENST00000702708.2	ENSG00000291132.2	0
ENST00000702722.2	ENSG00000288736.3	0
ENST00000702736.2	ENSG00000289408.3	0
ENST00000702741.2	ENSG00000203709.15	0
ENST00000702746.2	ENSG00000285847.3	0
ENST00000702752.1	ENSG00000291132.2	0
ENST00000702760.1	ENSG00000291135.2	0
ENST00000702761.2	ENSG00000231507.5	0
ENST00000702765.1	ENSG00000291137.2	0
ENST00000702770.2	ENSG00000125462.21	0
ENST00000702771.2	ENSG00000223881.3	0
ENST00000702775.2	ENSG00000227070.3	0
ENST00000702777.2	ENSG00000228697.7	0
ENST00000702780.2	ENSG00000290074.2	0
ENST00000702781.2	ENSG00000228918.6	0
ENST00000702785.1	ENSG00000282564.4	0
ENST00000702786.2	ENSG00000228063.5	0
ENST00000702792.1	ENSG00000226889.5	0
ENST00000702804.2	ENSG00000228063.5	0
ENST00000702814.2	ENSG00000258673.3	0
ENST00000702815.1	ENSG00000291129.2	0
ENST00000702820.2	ENSG00000228697.7	0
ENST00000702821.2	ENSG00000223944.4	0
ENST00000702823.2	ENSG00000291137.2	0
ENST00000702826.1	ENSG00000203739.7	0
ENST00000702827.2	ENSG00000224699.13	0
ENST00000702831.2	ENSG00000291158.2	0
ENST00000702837.2	ENSG00000233008.9	0
ENST00000702838.2	ENSG00000231999.9	0
ENST00000702845.1	ENSG00000291132.2	0
ENST00000702847.1	ENSG00000228794.13	0
ENST00000702850.1	ENSG00000228971.5	0
ENST00000702851.1	ENSG00000291137.2	0
ENST00000702854.1	ENSG00000291135.2	0
ENST00000702857.1	ENSG00000280587.4	0
ENST00000702858.2	ENSG00000232480.4	0
ENST00000702864.2	ENSG00000238260.4	0
ENST00000702865.2	ENSG00000225506.3	0
ENST00000702876.2	ENSG00000234807.10	0
ENST00000702877.2	ENSG00000291137.2	0
ENST00000702878.2	ENSG00000224968.5	0
ENST00000702879.1	ENSG00000231064.10	0
ENST00000702881.2	ENSG00000233008.9	0
ENST00000702884.2	ENSG00000125462.21	0
ENST00000702887.1	ENSG00000231064.10	0
ENST00000702897.2	ENSG00000125462.21	0
ENST00000702905.2	ENSG00000231064.10	0
ENST00000702912.2	ENSG00000125462.21	0
ENST00000702915.1	ENSG00000125462.21	0
ENST00000702918.2	ENSG00000125462.21	0
ENST00000702922.2	ENSG00000291156.2	0
ENST00000702923.1	ENSG00000289062.3	0
ENST00000702928.2	ENSG00000125462.21	0
ENST00000702934.1	ENSG00000234741.11	0
ENST00000702936.2	ENSG00000125462.21	0
ENST00000702937.1	ENSG00000125462.21	0
ENST00000702949.2	ENSG00000290094.2	0
ENST00000702952.1	ENSG00000125462.21	0
ENST00000702953.2	ENSG00000125462.21	0
ENST00000702956.2	ENSG00000288880.3	0
ENST00000702957.2	ENSG00000290096.2	0
ENST00000702964.2	ENSG00000234741.11	0
ENST00000702966.1	ENSG00000125462.21	0
ENST00000702968.1	ENSG00000125462.21	0
ENST00000702969.2	ENSG00000125462.21	0
ENST00000702972.2	ENSG00000125462.21	0
ENST00000702975.2	ENSG00000125462.21	0
ENST00000702978.2	ENSG00000125462.21	0
ENST00000702980.2	ENSG00000290102.2	0
ENST00000702985.2	ENSG00000272668.3	0
ENST00000702986.2	ENSG00000233184.10	0
ENST00000702990.2	ENSG00000125462.21	0
ENST00000702996.1	ENSG00000290109.2	0
ENST00000702998.2	ENSG00000125462.21	0
ENST00000702999.2	ENSG00000125462.21	0
ENST00000703000.2	ENSG00000125462.21	0
ENST00000703006.1	ENSG00000290111.1	0
ENST00000703008.2	ENSG00000234741.11	0
ENST00000703013.2	ENSG00000289439.3	0
ENST00000703018.2	ENSG00000125462.21	0
ENST00000703020.1	ENSG00000203706.10	0
ENST00000703022.2	ENSG00000290115.2	0
ENST00000703026.2	ENSG00000125462.21	0
ENST00000703029.2	ENSG00000125462.21	0
ENST00000703030.1	ENSG00000234741.11	0
ENST00000703031.1	ENSG00000125462.21	0
ENST00000703032.2	ENSG00000290117.2	0
ENST00000703035.2	ENSG00000125462.21	0
ENST00000703037.1	ENSG00000234741.11	0
ENST00000703038.1	ENSG00000224093.8	0
ENST00000703039.2	ENSG00000235200.6	0
ENST00000703041.1	ENSG00000234741.11	0
ENST00000703043.2	ENSG00000125462.21	0
ENST00000703044.1	ENSG00000234741.11	0
ENST00000703046.2	ENSG00000153363.16	0
ENST00000703047.2	ENSG00000125462.21	0
ENST00000703048.2	ENSG00000125462.21	0
ENST00000703049.1	ENSG00000234741.11	0
ENST00000703050.2	ENSG00000249087.10	0
ENST00000703051.1	ENSG00000249087.10	0
ENST00000703052.2	ENSG00000125462.21	0
ENST00000703053.2	ENSG00000125462.21	0
ENST00000703054.1	ENSG00000290121.2	0
ENST00000703055.2	ENSG00000224699.13	0
ENST00000703056.2	ENSG00000290122.2	0
ENST00000703057.1	ENSG00000234741.11	0
ENST00000703058.2	ENSG00000125462.21	0
ENST00000703059.1	ENSG00000234741.11	0
ENST00000703060.2	ENSG00000228084.4	0
ENST00000703061.2	ENSG00000198468.12	0
ENST00000703062.2	ENSG00000125462.21	0
ENST00000703063.2	ENSG00000290123.2	0
ENST00000703064.1	ENSG00000290683.2	0
ENST00000703065.2	ENSG00000125462.21	0
ENST00000703066.2	ENSG00000231057.6	0
ENST00000703067.2	ENSG00000125462.21	0
ENST00000703068.1	ENSG00000223956.5	0
ENST00000703069.2	ENSG00000125462.21	0
ENST00000703070.1	ENSG00000235200.6	0
ENST00000703071.1	ENSG00000289576.3	0
ENST00000703072.2	ENSG00000125462.21	0
ENST00000703073.2	ENSG00000125462.21	0
ENST00000703074.2	ENSG00000203288.7	0
ENST00000703075.1	ENSG00000234741.11	0
ENST00000703076.2	ENSG00000288775.3	0
ENST00000703077.1	ENSG00000236810.9	0
ENST00000703078.2	ENSG00000125462.21	0
ENST00000703079.2	ENSG00000125462.21	0
ENST00000703080.2	ENSG00000293505.1	0
ENST00000703081.1	ENSG00000234741.11	0
ENST00000703082.2	ENSG00000290125.2	0
ENST00000703083.2	ENSG00000125462.21	0
ENST00000703084.2	ENSG00000125462.21	0
ENST00000703085.2	ENSG00000125462.21	0
ENST00000703086.1	ENSG00000125462.21	0
ENST00000703087.2	ENSG00000290126.2	0
ENST00000703088.1	ENSG00000125462.21	0
ENST00000703089.1	ENSG00000125462.21	0
ENST00000703090.1	ENSG00000125462.21	0
ENST00000703091.1	ENSG00000233184.10	0
ENST00000703092.1	ENSG00000125462.21	0
ENST00000703093.1	ENSG00000125462.21	0
ENST00000703094.1	ENSG00000125462.21	0
ENST00000703095.2	ENSG00000125462.21	0
ENST00000703096.2	ENSG00000234741.11	0
ENST00000703097.2	ENSG00000290127.2	0
ENST00000703098.2	ENSG00000125462.21	0
ENST00000703118.1	ENSG00000198793.14	0
ENST00000703131.1	ENSG00000198793.14	0
ENST00000703132.1	ENSG00000198793.14	0
ENST00000703139.2	ENSG00000198793.14	0
ENST00000703140.1	ENSG00000198793.14	1.5
ENST00000703141.1	ENSG00000198793.14	0
ENST00000703142.1	ENSG00000198793.14	0
ENST00000703143.2	ENSG00000198793.14	0
ENST00000703144.1	ENSG00000198793.14	0
ENST00000703168.1	ENSG00000143442.24	0
ENST00000703169.1	ENSG00000143442.24	0
ENST00000703198.1	ENSG00000117682.18	0
ENST00000703199.1	ENSG00000117682.18	0
ENST00000703200.1	ENSG00000117682.18	0
ENST00000703201.1	ENSG00000117682.18	0
ENST00000703202.1	ENSG00000117682.18	0
ENST00000703203.1	ENSG00000117682.18	0
ENST00000703262.1	ENSG00000117682.18	0
ENST00000703263.1	ENSG00000117682.18	0
ENST00000703264.1	ENSG00000117682.18	0
ENST00000703586.1	ENSG00000162613.18	0
ENST00000703600.1	ENSG00000162613.18	0
ENST00000703630.1	ENSG00000143614.11	0
ENST00000703640.1	ENSG00000171385.11	0
ENST00000703641.1	ENSG00000171385.11	0
ENST00000703642.1	ENSG00000171385.11	0
ENST00000703643.1	ENSG00000171385.11	0
ENST00000703692.1	ENSG00000078369.19	0
ENST00000703693.1	ENSG00000078369.19	0
ENST00000703694.1	ENSG00000078369.19	0
ENST00000703695.1	ENSG00000078369.19	0
ENST00000703696.1	ENSG00000078369.19	0
ENST00000703697.1	ENSG00000078369.19	0
ENST00000703698.1	ENSG00000078369.19	0
ENST00000703699.1	ENSG00000078369.19	0
ENST00000703700.1	ENSG00000078369.19	0
ENST00000703701.1	ENSG00000078369.19	0
ENST00000703702.1	ENSG00000078369.19	0
ENST00000703703.1	ENSG00000078369.19	0
ENST00000703704.1	ENSG00000078369.19	0
ENST00000703705.1	ENSG00000078369.19	0
ENST00000703706.1	ENSG00000078369.19	0
ENST00000703707.1	ENSG00000078369.19	0
ENST00000703708.1	ENSG00000078369.19	0
ENST00000703709.1	ENSG00000078369.19	0
ENST00000703710.1	ENSG00000078369.19	0
ENST00000703711.1	ENSG00000078369.19	0
ENST00000703712.1	ENSG00000078369.19	0
ENST00000704049.1	ENSG00000142599.20	0
ENST00000704050.1	ENSG00000142599.20	0
ENST00000704061.1	ENSG00000143622.12	0
ENST00000704074.1	ENSG00000153187.21	0
ENST00000704274.1	ENSG00000065526.13	0
ENST00000704337.1	ENSG00000157933.11	0
ENST00000704632.1	ENSG00000162923.18	0
ENST00000704640.1	ENSG00000162923.18	0
ENST00000704840.1	ENSG00000178104.22	0
ENST00000704899.1	ENSG00000077157.23	0
ENST00000705470.1	ENSG00000135837.18	0
ENST00000705519.1	ENSG00000097033.15	0
ENST00000705662.1	ENSG00000133226.19	0
ENST00000705663.1	ENSG00000133226.19	2.78607
ENST00000705681.1	ENSG00000133226.19	0
ENST00000705682.1	ENSG00000133226.19	1.40527
ENST00000705901.1	ENSG00000058668.16	0
ENST00000706231.2	ENSG00000290466.2	0
ENST00000706234.1	ENSG00000135837.18	0.25
ENST00000706235.1	ENSG00000135837.18	0.25
ENST00000706236.1	ENSG00000135837.18	0
ENST00000706237.1	ENSG00000135837.18	0
ENST00000706238.1	ENSG00000135837.18	0
ENST00000706239.1	ENSG00000135837.18	0
ENST00000706240.1	ENSG00000135837.18	0
ENST00000706241.1	ENSG00000135837.18	0.25
ENST00000706242.1	ENSG00000135837.18	0
ENST00000706262.1	ENSG00000135837.18	0.25
ENST00000706263.1	ENSG00000135837.18	0
ENST00000706264.1	ENSG00000135837.18	0
ENST00000706265.1	ENSG00000135837.18	0
ENST00000706287.1	ENSG00000085832.18	0
ENST00000706288.1	ENSG00000085832.18	0
ENST00000706289.1	ENSG00000085832.18	0
ENST00000706290.1	ENSG00000085832.18	0
ENST00000706291.1	ENSG00000085832.18	0
ENST00000706292.1	ENSG00000085832.18	0
ENST00000706293.1	ENSG00000085832.18	0
ENST00000706360.1	ENSG00000134686.21	0
ENST00000706361.1	ENSG00000159023.23	0
ENST00000706530.1	ENSG00000173673.9	0
ENST00000706595.1	ENSG00000117569.20	0
ENST00000706596.1	ENSG00000117569.20	0
ENST00000706597.1	ENSG00000117569.20	1
ENST00000706598.1	ENSG00000117569.20	0
ENST00000706599.1	ENSG00000117569.20	0
ENST00000706601.1	ENSG00000169972.13	0
ENST00000706602.1	ENSG00000169972.13	0
ENST00000706647.1	ENSG00000178104.22	0
ENST00000706648.1	ENSG00000178104.22	0
ENST00000706764.1	ENSG00000117724.15	0.92298
ENST00000706765.1	ENSG00000117724.15	1.03851
ENST00000706766.1	ENSG00000117724.15	0
ENST00000706772.1	ENSG00000160767.23	0
ENST00000706773.1	ENSG00000160767.23	0
ENST00000706774.1	ENSG00000160767.23	0
ENST00000706843.1	ENSG00000067208.17	0
ENST00000706844.2	ENSG00000169641.16	0
ENST00000706845.1	ENSG00000067208.17	0
ENST00000706846.1	ENSG00000067208.17	0
ENST00000706847.1	ENSG00000067208.17	0
ENST00000706867.1	ENSG00000067208.17	0
ENST00000706868.1	ENSG00000067208.17	0
ENST00000706869.1	ENSG00000067208.17	0
ENST00000706870.1	ENSG00000067208.17	0
ENST00000706883.1	ENSG00000067208.17	0
ENST00000706884.1	ENSG00000067208.17	0
ENST00000706885.1	ENSG00000067208.17	0
ENST00000707139.1	ENSG00000143569.20	0
ENST00000707166.2	ENSG00000291326.2	0
ENST00000710270.1	ENSG00000143442.24	0
ENST00000710272.1	ENSG00000143321.19	1
ENST00000710273.1	ENSG00000177606.9	0
ENST00000710284.1	ENSG00000171735.21	0
ENST00000710285.1	ENSG00000171735.21	0
ENST00000710286.1	ENSG00000169174.13	0.5
ENST00000710329.1	ENSG00000288678.2	0
ENST00000710369.1	ENSG00000160679.14	0
ENST00000710568.1	ENSG00000160097.21	0
ENST00000710901.1	ENSG00000203709.15	0
ENST00000710902.1	ENSG00000203709.15	0
ENST00000710903.1	ENSG00000203709.15	0
ENST00000710904.1	ENSG00000203709.15	0
ENST00000710905.2	ENSG00000203709.15	0
ENST00000710906.2	ENSG00000203709.15	0
ENST00000710931.1	ENSG00000180488.17	0
ENST00000710932.1	ENSG00000180488.17	0
ENST00000710952.2	ENSG00000132781.22	0
ENST00000711098.1	ENSG00000197312.13	0
ENST00000711099.1	ENSG00000197312.13	0
ENST00000711404.1	ENSG00000125945.16	0
ENST00000711425.1	ENSG00000088280.21	0
ENST00000711426.1	ENSG00000088280.21	0
ENST00000711427.1	ENSG00000088280.21	0
ENST00000711669.1	ENSG00000273136.9	0
ENST00000713564.1	ENSG00000116212.16	0
ENST00000713570.1	ENSG00000078900.16	0
ENST00000713571.1	ENSG00000078900.16	0
ENST00000713572.1	ENSG00000078900.16	0
ENST00000713588.1	ENSG00000134262.15	0
ENST00000713590.1	ENSG00000134262.15	0
ENST00000713592.1	ENSG00000293494.3	0
ENST00000713621.1	ENSG00000293562.1	0
ENST00000713622.1	ENSG00000135837.18	0.25
ENST00000713623.1	ENSG00000135835.13	0
ENST00000713624.1	ENSG00000135835.13	0
ENST00000713625.1	ENSG00000135835.13	0
ENST00000713626.1	ENSG00000160710.19	0
ENST00000713628.1	ENSG00000160710.19	0
ENST00000713629.1	ENSG00000160710.19	0
ENST00000713630.1	ENSG00000160710.19	0
ENST00000713631.1	ENSG00000160710.19	0.74151
ENST00000713632.1	ENSG00000160710.19	0
ENST00000713633.1	ENSG00000160710.19	0
ENST00000713634.1	ENSG00000160710.19	0
ENST00000713635.1	ENSG00000160710.19	0
ENST00000713640.1	ENSG00000009709.13	0
ENST00000713641.1	ENSG00000009709.13	0
ENST00000713642.1	ENSG00000009709.13	0
ENST00000713645.1	ENSG00000134262.15	0
ENST00000713646.1	ENSG00000134262.15	0
ENST00000713647.1	ENSG00000134262.15	0
ENST00000713648.1	ENSG00000134262.15	0
ENST00000713649.1	ENSG00000134262.15	0
ENST00000713650.1	ENSG00000134262.15	0
ENST00000713651.1	ENSG00000134371.15	0
ENST00000713652.1	ENSG00000134371.15	0
ENST00000713653.1	ENSG00000143850.17	0
ENST00000713654.1	ENSG00000143850.17	0
ENST00000713655.1	ENSG00000143850.17	0
ENST00000713656.1	ENSG00000143850.17	0
ENST00000713657.1	ENSG00000143850.17	0
ENST00000713666.1	ENSG00000169641.16	0
ENST00000713667.1	ENSG00000169641.16	0
ENST00000713699.1	ENSG00000081248.13	0
ENST00000713711.1	ENSG00000118729.15	0
ENST00000713712.1	ENSG00000118729.15	0
ENST00000713713.1	ENSG00000118729.15	0
ENST00000713727.1	ENSG00000118729.15	0
ENST00000713728.1	ENSG00000118729.15	0
ENST00000713729.1	ENSG00000118729.15	0
ENST00000713746.1	ENSG00000160789.25	0
ENST00000713747.1	ENSG00000160789.25	0
ENST00000713748.1	ENSG00000160789.25	0
ENST00000713749.1	ENSG00000132781.22	0
ENST00000713750.1	ENSG00000132781.22	0
ENST00000713751.1	ENSG00000132781.22	0
ENST00000713785.1	ENSG00000169174.13	0
ENST00000713786.1	ENSG00000169174.13	0
ENST00000713787.1	ENSG00000169174.13	0
ENST00000713864.1	ENSG00000293564.1	0
ENST00000713865.1	ENSG00000293565.1	0
ENST00000713936.1	ENSG00000116745.8	0
ENST00000713937.1	ENSG00000116745.8	0
ENST00000713938.1	ENSG00000116745.8	0
ENST00000713939.1	ENSG00000116745.8	0
ENST00000713940.1	ENSG00000287839.3	0
ENST00000713941.1	ENSG00000287839.3	0
ENST00000713944.1	ENSG00000287839.3	0
ENST00000713954.1	ENSG00000116147.19	0
ENST00000713955.1	ENSG00000116147.19	0
ENST00000713977.1	ENSG00000116147.19	0
ENST00000713978.1	ENSG00000116147.19	0
ENST00000714018.1	ENSG00000198626.19	0
ENST00000714019.1	ENSG00000198626.19	0
ENST00000714021.1	ENSG00000198626.19	0
ENST00000714022.1	ENSG00000198626.19	0
ENST00000714029.1	ENSG00000117118.12	0
ENST00000714030.1	ENSG00000117118.12	0
ENST00000714031.1	ENSG00000117118.12	0.14286
ENST00000714032.1	ENSG00000117118.12	0
ENST00000714033.1	ENSG00000117118.12	0.14286
ENST00000714034.1	ENSG00000117118.12	0.14286
ENST00000714035.1	ENSG00000117118.12	0
ENST00000714036.1	ENSG00000117118.12	0
ENST00000714037.1	ENSG00000117118.12	0
ENST00000714038.1	ENSG00000117118.12	0
ENST00000714063.1	ENSG00000143252.17	0
ENST00000714064.1	ENSG00000143252.17	0
ENST00000714065.1	ENSG00000143252.17	0
ENST00000714066.1	ENSG00000143252.17	0
ENST00000714112.1	ENSG00000213088.14	0
ENST00000714213.1	ENSG00000116521.12	0
ENST00000714214.1	ENSG00000116521.12	0
ENST00000714215.1	ENSG00000116521.12	0
ENST00000714216.1	ENSG00000116521.12	0
ENST00000714217.1	ENSG00000116521.12	0
ENST00000714218.1	ENSG00000116521.12	0
ENST00000714219.1	ENSG00000116521.12	0
ENST00000714220.1	ENSG00000116521.12	0
ENST00000714221.1	ENSG00000116521.12	0
ENST00000714222.1	ENSG00000116521.12	0
ENST00000714223.1	ENSG00000116521.12	0
ENST00000714224.1	ENSG00000116521.12	0
ENST00000714229.1	ENSG00000187554.15	0
ENST00000714258.1	ENSG00000287839.3	0
ENST00000714312.1	ENSG00000118194.22	0
ENST00000714313.1	ENSG00000118194.22	0
ENST00000714314.1	ENSG00000118194.22	0
ENST00000714315.1	ENSG00000118194.22	0
ENST00000714316.2	ENSG00000118194.22	0
ENST00000714317.1	ENSG00000118194.22	0
ENST00000714429.1	ENSG00000117586.12	0
ENST00000714430.1	ENSG00000117586.12	0
ENST00000714452.1	ENSG00000117586.12	0
ENST00000714453.1	ENSG00000117586.12	0
ENST00000714469.1	ENSG00000117586.12	0
ENST00000714470.1	ENSG00000117586.12	0
ENST00000714471.1	ENSG00000117586.12	0
ENST00000714536.1	ENSG00000163374.21	0
ENST00000714537.1	ENSG00000163374.21	0
